"loss","penalty","alpha","max_iter","learning_rate","early_stopping","warm_start","accuracy"
"hinge","l2",0.0001,500,"optimal",True,False,0.7379251700680272
"hinge","l2",0.0001,500,"optimal",True,True,0.7624149659863945
"hinge","l2",0.0001,500,"invscaling",False,False,0.7502551020408164
"hinge","l2",0.0001,500,"invscaling",False,True,0.7335884353741495
"hinge","l2",0.0001,500,"invscaling",True,False,0.733078231292517
"hinge","l2",0.0001,500,"invscaling",True,True,0.7419217687074829
"hinge","l2",0.0001,500,"adaptive",False,False,0.7541666666666667
"hinge","l2",0.0001,500,"adaptive",False,True,0.7414965986394557
"hinge","l2",0.0001,500,"adaptive",True,False,0.7498299319727891
"hinge","l2",0.0001,500,"adaptive",True,True,0.7418367346938775
"hinge","l2",0.0001,1000,"constant",False,False,0.47619047619047616
"hinge","l2",0.0001,1000,"constant",False,True,0.75
"hinge","l2",0.0001,1000,"constant",True,False,0.7584183673469388
"hinge","l2",0.0001,1000,"constant",True,True,0.7419217687074829
"hinge","l2",0.0001,1000,"optimal",False,False,0.7460034013605443
"hinge","l2",0.0001,1000,"optimal",False,True,0.5851190476190476
"hinge","l2",0.0001,1000,"optimal",True,False,0.6393707482993197
"hinge","l2",0.0001,1000,"optimal",True,True,0.6130102040816328
"hinge","l2",0.0001,1000,"invscaling",False,False,0.7540816326530613
"hinge","l2",0.0001,1000,"invscaling",False,True,0.7540816326530612
"hinge","l2",0.0001,1000,"invscaling",True,False,0.6518707482993198
"hinge","l2",0.0001,1000,"invscaling",True,True,0.7582482993197279
"hinge","l2",0.0001,1000,"adaptive",False,False,0.754251700680272
"hinge","l2",0.0001,1000,"adaptive",False,True,0.7460884353741496
"hinge","l2",0.0001,1000,"adaptive",True,False,0.7374149659863944
"hinge","l2",0.0001,1000,"adaptive",True,True,0.7624149659863946
"hinge","l2",0.0001,5000,"constant",False,False,0.5255952380952381
"hinge","l2",0.0001,5000,"constant",False,True,0.6723639455782313
"hinge","l2",0.0001,5000,"constant",True,False,0.7583333333333333
"hinge","l2",0.0001,5000,"constant",True,True,0.7539965986394558
"hinge","l2",0.0001,5000,"optimal",False,False,0.5520408163265306
"hinge","l2",0.0001,5000,"optimal",False,True,0.7460884353741496
"hinge","l2",0.0001,5000,"optimal",True,False,0.5320578231292517
"hinge","l2",0.0001,5000,"optimal",True,True,0.5811224489795919
"hinge","l2",0.0001,5000,"invscaling",False,False,0.6232993197278912
"hinge","l2",0.0001,5000,"invscaling",False,True,0.7212585034013606
"hinge","l2",0.0001,5000,"invscaling",True,False,0.7255102040816326
"hinge","l2",0.0001,5000,"invscaling",True,True,0.6718537414965986
"hinge","l2",0.0001,5000,"adaptive",False,False,0.75
"hinge","l2",0.0001,5000,"adaptive",False,True,0.7578231292517006
"hinge","l2",0.0001,5000,"adaptive",True,False,0.741326530612245
"hinge","l2",0.0001,5000,"adaptive",True,True,0.745748299319728
"hinge","l2",0.0001,10000,"constant",False,False,0.6275510204081634
"hinge","l2",0.0001,10000,"constant",False,True,0.7461734693877552
"hinge","l2",0.0001,10000,"constant",True,False,0.691921768707483
"hinge","l2",0.0001,10000,"constant",True,True,0.6641156462585034
"hinge","l2",0.0001,10000,"optimal",False,False,0.647704081632653
"hinge","l2",0.0001,10000,"optimal",False,True,0.7659013605442178
"hinge","l2",0.0001,10000,"optimal",True,False,0.7578231292517006
"hinge","l2",0.0001,10000,"optimal",True,True,0.5864795918367347
"hinge","l2",0.0001,10000,"invscaling",False,False,0.7335034013605443
"hinge","l2",0.0001,10000,"invscaling",False,True,0.6545918367346939
"hinge","l2",0.0001,10000,"invscaling",True,False,0.7539965986394559
"hinge","l2",0.0001,10000,"invscaling",True,True,0.6553571428571429
"hinge","l2",0.0001,10000,"adaptive",False,False,0.7457482993197279
"hinge","l2",0.0001,10000,"adaptive",False,True,0.7579931972789116
"hinge","l2",0.0001,10000,"adaptive",True,False,0.7416666666666667
"hinge","l2",0.0001,10000,"adaptive",True,True,0.7499149659863945
"hinge","l2",0.0001,50000,"constant",False,False,0.6025510204081632
"hinge","l2",0.0001,50000,"constant",False,True,0.6522959183673469
"hinge","l2",0.0001,50000,"constant",True,False,0.7299319727891157
"hinge","l2",0.0001,50000,"constant",True,True,0.758078231292517
"hinge","l2",0.0001,50000,"optimal",False,False,0.5692176870748299
"hinge","l2",0.0001,50000,"optimal",False,True,0.5541666666666667
"hinge","l2",0.0001,50000,"optimal",True,False,0.7420068027210884
"hinge","l2",0.0001,50000,"optimal",True,True,0.7580782312925171
"hinge","l2",0.0001,50000,"invscaling",False,False,0.7457482993197279
"hinge","l2",0.0001,50000,"invscaling",False,True,0.7130952380952381
"hinge","l2",0.0001,50000,"invscaling",True,False,0.7140306122448979
"hinge","l2",0.0001,50000,"invscaling",True,True,0.6915816326530612
"hinge","l2",0.0001,50000,"adaptive",False,False,0.745578231292517
"hinge","l2",0.0001,50000,"adaptive",False,True,0.766156462585034
